weeknr,week,lec,leclink,workshop,workshoplink
1.01,Sem 1 Week 1,Introduction,,,
1.02,Sem 1 Week 2,Data types,,,
1.03,Sem 1 Week 3,Visualising data,,,
1.04,Sem 1 Week 4,Describing data I,,,
1.05,Sem 1 Week 5,Describing data II,,,
1.06,Sem 1 Week 6,No Lecture,,,
1.07,Sem 1 Week 7,Standardisation,,,
1.08,Sem 1 Week 8,Sampling & Sampling distributions,,,
1.09,Sem 1 Week 9,Confidence intervals,,,
1.1,Sem 1 Week 10,Null Hypothesis Significance Testing (NHST),,,
1.11,Sem 1 Week 11,Worked example,,,
2.01,Sem 2 Week 1,Associations,,,
2.02,Sem 2 Week 2,Chi-square tests,,,
2.03,Sem 2 Week 3,T-tests,,,
2.04,Sem 2 Week 4,Correlation,,,
2.05,Sem 2 Week 5,Worked example,,,
2.06,Flexible Learning Week,No lecture,,,
2.07,Sem 2 Week 6,Everything is a linear model,,,
2.08,Sem 2 Week 7,Linear models: Key concepts,,,
2.09,Sem 2 Week 8,Linear models: Interpretation,,,
2.1,Sem 2 Week 9,Linear models: model evaluation,,,
2.11,Sem 2 Week 10,Course Recap,,,
