weeknr,week,lec,leclink,workshop,workshoplink
1.01,Sem 1 Week 1,Introduction,,,
1.02,Sem 1 Week 2,Introducing data & variables,,,
1.03,Sem 1 Week 3,Univariate distributions,,,
1.04,Sem 1 Week 4,Measures of central tendency,,,
1.05,Sem 1 Week 5,Measures of variability,,,
1.06,Sem 1 Week 6,No lecture,,No workshop,
1.07,Sem 1 Week 7,Z-scores & normal distribution,,,
1.08,Sem 1 Week 8,Sampling & standard error,,,
1.09,Sem 1 Week 9,Confidence intervals,,,
1.1,Sem 1 Week 10,Null Hypothesis Significance Testing (NHST),,,
1.11,Sem 1 Week 11,One-sample t-test,,,
2.01,Sem 2 Week 1,One-sample t-tests and their assumptions,https://uoepsy.github.io/dapr1/2627/lectures/S2W1_onesamplet.html,,
2.02,Sem 2 Week 2,Independent-samples t-test,https://uoepsy.github.io/dapr1/2627/lectures/S2W2_indept.html,,
2.03,Sem 2 Week 3,Chi-squared test of independence,https://uoepsy.github.io/dapr1/2627/lectures/S2W3_chisq.html,,
2.04,Sem 2 Week 4,Correlations,https://uoepsy.github.io/dapr1/2627/lectures/S2W4_cor.html,,
2.05,Sem 2 Week 5,Effect size and Block 3 recap,https://uoepsy.github.io/dapr1/2627/lectures/S2W5_effsize.html,,
2.06,Flexible Learning Week,No lecture,,No workshop,
2.07,Sem 2 Week 6,Everything is a linear model,,,
2.08,Sem 2 Week 7,Linear models: Key concepts,,,
2.09,Sem 2 Week 8,Linear models: Interpretation,,,
2.1,Sem 2 Week 9,Linear models: model evaluation,,,
2.11,Sem 2 Week 10,Course Recap,,,
